mgi_id	viability	wol	mp_term_id_homozygote	mp_term_id_heterozygote	mp_term_id_hemizygote	mp_term_name_homozygote	mp_term_name_heterozygote	mp_term_name_hemizygote	allele_symbol_homozygote	allele_symbol_heterozygote	allele_symbol_hemizygote	strain_name_homozygote	strain_name_heterozygote	strain_name_hemizygote	procedure_name_successful	hom_early_adult	hem_early_adult	sucessful_procedures_13	ortholog	hgnc_id	gene_symbol	mean_depmap_gene_effect_score	depmap_essential_05	depmap_essential_1	fusil_all	fusil	max_col_raw	max_col_norm	max_tissue_raw	max_tissue_norm
MGI:104815	viable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Heart Weight|Hematology|Hole-board Exploration|Intraperitoneal glucose tolerance test (IPGTT)|Light-Dark Test|Open Field - centre start|Viability Primary Screen	16	0	yes	one2one	HGNC:28871	IER2	-0.109448189746376	n	n	VnP	VnP	54	63	Skin_Not_Sun_Exposed_Suprapubic	Stomach_Muscularis
MGI:104837	viable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anti-nuclear antibody assay|Body Composition (DEXA lean/fat)|Bone marrow immunophenotyping|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Ear epidermis immunophenotyping|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Heart Weight|Hematology|Indirect Calorimetry|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Mesenteric Lymph Node Immunophenotyping|Spleen Immunophenotyping|Viability Primary Screen|Whole blood peripheral blood leukocyte immunophenotyping|X-ray	19	0	yes	one2one	HGNC:28041	AMZ2	-0.0348342329878058	n	n	VnP	VnP	64	64	Testis	Testis
MGI:104838	viable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fear Conditioning|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Hematology|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Organ Weight|Viability Primary Screen|X-ray	17	0	yes	one2one	HGNC:23222	SPATA13	-0.0362391290269678	n	n	VnP	VnP	59	49	Spleen	Pancreas_Acini
MGI:104841	lethal	no data	MP:0011100	NA	NA	preweaning lethality, complete penetrance	NA	NA	Cpox<em1(IMPC)Bay>	NA	NA	C57BL/6N	NA	NA	NA	NA	NA	NA	one2one	HGNC:2321	CPOX	-0.282166562674062	n	n	DL	DL	23	23	Cells_EBV.transformed_lymphocytes	Cells_EBV.transformed_lymphocytes
MGI:104849	viable	NA	MP:0010052|MP:0005553|MP:0005505	NA	NA	increased grip strength|increased circulating creatinine level|thrombocytosis	NA	NA	Cd55b<tm1a(KOMP)Wtsi>	NA	NA	C57BL/6N	NA	NA	Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Hematology|Indirect Calorimetry|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Viability Primary Screen|X-ray	12	0	no	NA	NA	NA	NA	NA	NA	no_one2one_orhtolog	NA	NA	NA	NA	NA
MGI:104850	viable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Body Composition (DEXA lean/fat)|Combined SHIRPA and Dysmorphology|Echo|Electrocardiogram (ECG)|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Heart Weight|Open Field|Viability Primary Screen|X-ray	12	0	no	NA	NA	NA	NA	NA	NA	no_one2one_orhtolog	NA	NA	NA	NA	NA
MGI:104854	lethal	late lethal	MP:0001697|MP:0003717|MP:0001785|MP:0011100|MP:0011239	MP:0000702|MP:0001258|MP:0001488	NA	abnormal embryo size|pallor|edema|preweaning lethality, complete penetrance|abnormal skin coloration	enlarged lymph nodes|decreased body length|increased startle reflex	NA	Zfp91<em1(IMPC)Tcp>	Zfp91<em1(IMPC)Tcp>	NA	C57BL/6NCrl	C57BL/6NCrl	NA	NA	NA	NA	NA	one2one	HGNC:14983	ZFP91	-0.149008972935973	n	n	DL	DL	64	64	Testis	Testis
MGI:104859	viable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Combined SHIRPA and Dysmorphology|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Light-Dark Test|Open Field|Viability Primary Screen	7	0	no	NA	NA	NA	NA	NA	NA	no_one2one_orhtolog	NA	NA	NA	NA	NA
MGI:104864	viable	NA	MP:0005343|MP:0010090	NA	NA	increased circulating aspartate transaminase level|increased circulating creatine kinase level	NA	NA	Pdia4<tm1b(EUCOMM)Wtsi>	NA	NA	C57BL/6N	NA	NA	Anti-nuclear antibody assay|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Bone marrow immunophenotyping|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Ear epidermis immunophenotyping|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Heart Weight|Hematology|Indirect Calorimetry|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Mesenteric Lymph Node Immunophenotyping|Spleen Immunophenotyping|Viability Primary Screen|Whole blood peripheral blood leukocyte immunophenotyping|X-ray	20	0	yes	one2one	HGNC:30167	PDIA4	0.0167249005207438	n	n	VP	VP	22	41	Cells_Cultured_fibroblasts	Liver_Mixed_Cell
MGI:104871	lethal	NA	MP:0011100	MP:0001417	NA	preweaning lethality, complete penetrance	decreased exploration in new environment	NA	Ppp1cb<em2(IMPC)Marc>	Ppp1cb<em2(IMPC)Marc>	NA	C57BL/6N	C57BL/6N	NA	NA	NA	NA	NA	one2one	HGNC:9282	PPP1CB	-1.07007031373577	y	y	CL	CL	6	33	Artery_Tibial	Esophagus_Muscularis
